long,smiles
Fused002,COc1ccc(CCOC(=O)N2C[C@@H]3NO[C@]4(OC5(CCCCC5)OC4=O)[C@@H]3C2)cc1OC
Fused005,O=C(OCc1ccccc1)N1C[C@@H]2NO[C@]3(OC4(CCCCC4)OC3=O)[C@@H]2C1
Fused006,O=C1OC2(CCCCC2)O[C@]12ON[C@H]1CCC[C@H]12
Fused011,O=C1OC2(CCCCC2)O[C@]12ON[C@H]1COc3ccccc3[C@@H]12
Fused012,COc1ccc(-c2ccc3c(c2)OC[C@@H]2NO[C@]4(OC5(CCCCC5)OC4=O)[C@@H]32)cc1OC
Fused013,N#Cc1cccc(-c2ccc3c(c2)OC[C@@H]2NO[C@]4(OC5(CCCCC5)OC4=O)[C@@H]32)c1
Fused014,O=C1OC2(CCCCC2)O[C@]12ON[C@H]1Cn3cnc(Br)c3[C@H]12
Fused015,CC(=O)N1C[C@@H]2NO[C@]3(OC4(CCCCC4)OC3=O)[C@@H]2C1
Mon001,O=C1OC2(CCCCC2)O[C@@]12C[C@H](CC(F)(F)F)NO2
Mon002,CC(C)[C@H]1C[C@]2(ON1)OC1(CCCCC1)OC2=O
Mon003,CC(C)C[C@H]1C[C@]2(ON1)OC1(CCCCC1)OC2=O
Mon004,O=C1OC2(CCCCC2)O[C@@]12C[C@H](c1cccnc1)NO2
Mon007,O=C1OC2(CCCCC2)O[C@@]12C[C@H](Cc1ccccc1)NO2
Mon011,O=C1OC2(CCCCC2)OC12C[C@H](CC1CCOCC1)NO2
Mon012,O=C1OC2(CCCCC2)O[C@@]12C[C@H](C1CCOCC1)NO2
Mon013,CC(C)(C)OC(=O)NCC[C@H]1C[C@]2(ON1)OC1(CCCCC1)OC2=O
Mon014,CC(C)(C)OC(=O)N1CCC(C[C@H]2CC3(ON2)OC2(CCCCC2)OC3=O)CC1
Mon015,CC(C)(C)OC(=O)N1CCC([C@H]2C[C@]3(ON2)OC2(CCCCC2)OC3=O)CC1
Mon016,CC(C)(C)OC(=O)N1CC([C@H]2CC3(ON2)OC2(CCCCC2)OC3=O)C1
Mon017,CC(C)(C)OC(=O)CC[C@H]1C[C@]2(ON1)OC1(CCCCC1)OC2=O
Mon019,O=C1OC2(CCCCC2)OC12C[C@H](C1CCC1)NO2
Mon020,O=C1OC2(CCCCC2)O[C@@]12C[C@H](c1ccccc1F)NO2
Mon021,O=C1OC2(CCCCC2)O[C@@]12C[C@H](Cc1ccc3ccccc3c1)NO2
Mon022,CC(C)(C)C[C@H]1C[C@]2(ON1)OC1(CCCCC1)OC2=O
Mon030,O=C1OC2(CCCCC2)O[C@@]12C[C@H](c1ccc(-c3ccccn3)cc1)NO2
Mon031,O=C1OC2(CCCCC2)O[C@@]12C[C@H](Cc1ccc(OCc3ccccc3)cc1)NO2
Mon033,O=C1OC2(CCCCC2)O[C@@]12C[C@H](Cc1ccc(O)cc1)NO2
Mon036,O=C1OC2(CCCCC2)O[C@@]12C[C@H](C1(c3ccc(Cl)cc3)CC1)NO2
Mon049,O=C1OC2(CCCCC2)O[C@@]12C[C@H](c1ccc(-c3cncnc3)cc1)NO2
